mensaje,spam,label,mensaje_limpio
haz clic y aprende cómo obtener tarjetas de regalo gratis sin hacer nada.,1,spam,haz clic aprende cómo obtener tarjetas regalo gratis hacer
aviso importante: cambia tu número de tarjeta de crédito a este nuevo número para evitar cargos fraudulentos.,1,spam,aviso importante cambia número tarjeta crédito nuevo número evitar cargos fraudulentos
hoy el cielo está parcialmente nublado con temperaturas alrededor de 22 grados.,0,ham,hoy cielo parcialmente nublado temperaturas alrededor 22 grados
receta fácil de gazpacho andaluz para preparar en verano.,0,ham,receta fácil gazpacho andaluz preparar verano
el municipio anunció la apertura de una nueva biblioteca pública el próximo mes.,0,ham,municipio anunció apertura nueva biblioteca pública próximo mes
¿cuál es tu película favorita de los años 90? comenta abajo.,0,ham,cuál película favorita años 90 comenta abajo
los precios de la energía han subido un 10% en los últimos tres meses.,0,ham,precios energía subido 10 últimos tres meses
estoy aprendiendo a tocar la guitarra y prefiero canciones acústicas.,0,ham,aprendiendo tocar guitarra prefiero canciones acústicas
el evento de mañana será una charla sobre sostenibilidad ambiental.,0,ham,evento mañana charla sostenibilidad ambiental
me gusta caminar por el parque los domingos por la mañana.,0,ham,gusta caminar parque domingos mañana
"según el último informe, la inflación se mantiene estable.",0,ham,según último informe inflación mantiene estable
recomiendo visitar el museo de arte contemporáneo este fin de semana.,0,ham,recomiendo visitar museo arte contemporáneo fin semana
tengo una cita con mi jefe el viernes para revisar el proyecto.,0,ham,cita jefe viernes revisar proyecto
¿alguien sabe dónde puedo encontrar una buena receta de paella?,0,ham,alguien sabe dónde puedo encontrar buena receta paella
¡oferta exclusiva! haz clic aquí y recibe una suscripción gratuita a nuestro servicio premium.,1,spam,oferta exclusiva haz clic aquí recibe suscripción gratuita servicio premium
publicidad no solicitada: compra ahora el nuevo smartphone x100 con 50% de descuento solo por tiempo limitado.,1,spam,publicidad solicitada compra ahora nuevo smartphone x100 50 descuento solo tiempo limitado
¡urgente! tu cuenta ha sido seleccionada para recibir un bonificación de 1000€. responde ahora.,1,spam,urgente cuenta sido seleccionada recibir bonificación 1000 responde ahora
"esquema de enriquecimiento rápido: invierte 100€ y obtén 10,000€ en 24 horas. regístrate aquí.",1,spam,esquema enriquecimiento rápido invierte 100 obtén 10000 24 horas regístrate aquí
phishing alert: te enviamos un mensaje de verificación. haz clic en el siguiente enlace para confirmar tu identidad: http://bit.ly/verify2025,1,spam,phishing alert enviamos mensaje verificación haz clic siguiente enlace confirmar identidad httpbitlyverify2025
descarga este archivo .exe para mejorar el rendimiento de tu pc. ¡es 100% seguro!,1,spam,descarga archivo exe mejorar rendimiento pc 100 seguro
¡mira esto! oferta irresistible: compra 2 y paga 1 en todos los productos de belleza. solo hoy.,1,spam,mira oferta irresistible compra paga productos belleza solo hoy
¡escucha esta canción exclusiva! haz clic aquí para descargar el nuevo álbum de tu artista favorito.,1,spam,escucha canción exclusiva haz clic aquí descargar nuevo álbum artista favorito
contenido para adultos: visita el sitio web más grande de entretenimiento adulto. regístrate gratis.,1,spam,contenido adultos visita sitio web grande entretenimiento adulto regístrate gratis
¡descuento del 90%! compra ahora el nuevo juego de video y recibe un regalo sorpresa.,1,spam,descuento 90 compra ahora nuevo juego video recibe regalo sorpresa
¡mayusculas y exclamaciones!! oferta importante: compra ya o perderás grandes ahorros.,1,spam,mayusculas exclamaciones oferta importante compra perderás grandes ahorros
¡sigue nuestra página para recibir consejos de inversión milagrosos! dinero fácil en 24h.,1,spam,sigue página recibir consejos inversión milagrosos dinero fácil 24h
¡mlm! únete a nuestra red y recibe comisiones ilimitadas por cada nuevo miembro.,1,spam,mlm únete red recibe comisiones ilimitadas cada nuevo miembro
"hola, ¿cómo estás? me gustaría invitarte a tomar café mañana si tienes tiempo.",0,ham,hola cómo gustaría invitarte tomar café mañana si tiempo
"el clima hoy en madrid es soleado con temperaturas de 23°c, ideal para un paseo.",0,ham,clima hoy madrid soleado temperaturas 23c ideal paseo
en la biblioteca del centro comunitario se realizará una charla sobre reciclaje el próximo martes.,0,ham,biblioteca centro comunitario realizará charla reciclaje próximo martes
¿cuál es tu película favorita? yo acabo de ver una excelente adaptación de 'cien años de soledad'.,0,ham,cuál película favorita acabo ver excelente adaptación cien años soledad
quiero compartir una receta de paella tradicional que aprendí de mi abuela.,0,ham,quiero compartir receta paella tradicional aprendí abuela
¿has leído algún buen libro últimamente? te recomendaría 'la sombra del viento'.,0,ham,leído algún buen libro últimamente recomendaría sombra viento
mi perro se llama bruno y le encanta correr en el parque los domingos.,0,ham,perro llama bruno encanta correr parque domingos
"tengo una duda sobre la forma de calcular intereses compuestos, ¿puedes ayudarme?",0,ham,duda forma calcular intereses compuestos puedes ayudarme
me gusta escuchar podcasts de tecnología; el último episodio habló de ia ética.,0,ham,gusta escuchar podcasts tecnología último episodio habló ia ética
¿planeas viajar a algún destino este verano? yo estoy pensando en visitar barcelona.,0,ham,planeas viajar algún destino verano pensando visitar barcelona
hoy en la reunión de trabajo hablamos sobre la implementación de una nueva herramienta de gestión de proyectos.,0,ham,hoy reunión trabajo hablamos implementación nueva herramienta gestión proyectos
¿podrías recomendarme una serie de netflix que sea entretenida pero no demasiado intensa?,0,ham,podrías recomendarme serie netflix entretenida demasiado intensa
¡oferta exclusiva! compra el nuevo suero milagroso que te hará perder 5 kg en una semana. haz clic aquí antes de que se agote.,1,spam,oferta exclusiva compra nuevo suero milagroso hará perder kg semana haz clic aquí agote
"gana dinero fácil con este método secreto, sin estudios ni experiencia. ingresa al enlace y empieza a cobrar hoy mismo.",1,spam,gana dinero fácil método secreto estudios experiencia ingresa enlace empieza cobrar hoy mismo
urgente: has ganado una vacación de 7 días en las playas de dubái. responde ahora para confirmar tu premio.,1,spam,urgente ganado vacación días playas dubái responde ahora confirmar premio
descubre el secreto de los inversionistas que duplicaron su dinero en 30 días. regístrate gratis y recibe el manual exclusivo.,1,spam,descubre secreto inversionistas duplicaron dinero 30 días regístrate gratis recibe manual exclusivo
¡haz clic y obtén un iphone gratis! solo necesitas compartir esta página con 5 amigos y pagar una pequeña tarifa.,1,spam,haz clic obtén iphone gratis solo necesitas compartir página amigos pagar pequeña tarifa
protege tu computadora con el nuevo antivirus revolucionario que elimina cualquier malware en segundos. descárgalo ahora desde este enlace seguro.,1,spam,protege computadora nuevo antivirus revolucionario elimina cualquier malware segundos descárgalo ahora enlace seguro
oferta limitada: suscripción mensual a contenido adulto premium por solo $9.99. ¡accede ya!,1,spam,oferta limitada suscripción mensual contenido adulto premium solo 999 accede
cambio de divisas: invierte en dólares y obtén un retorno del 200% en 24 horas. regístrate sin compromiso.,1,spam,cambio divisas invierte dólares obtén retorno 200 24 horas regístrate compromiso
¡atención! tu cuenta de redes sociales ha sido seleccionada para recibir un regalo especial. haz clic aquí para reclamarlo antes de que expire.,1,spam,atención cuenta redes sociales sido seleccionada recibir regalo especial haz clic aquí reclamarlo expire
descubre el método infalible para invertir en criptomonedas y obtener ganancias diarias del 5 %. regístrate hoy.,1,spam,descubre método infalible invertir criptomonedas obtener ganancias diarias regístrate hoy
¿quieres mejorar tu vida sexual? compra ahora nuestro gel mejorador con envío discreto. haz clic aquí y aprovecha el descuento del 30 %.,1,spam,quieres mejorar vida sexual compra ahora gel mejorador envío discreto haz clic aquí aprovecha descuento 30
¡participa y gana una playstation 5! solo tienes que compartir este enlace en tus redes sociales y completar una breve encuesta.,1,spam,participa gana playstation solo compartir enlace redes sociales completar breve encuesta
atención: tu computadora está infectada por un virus. haz clic aquí para descargar la herramienta de reparación inmediata.,1,spam,atención computadora infectada virus haz clic aquí descargar herramienta reparación inmediata
"hoy fui al mercado y compré manzanas, naranjas y peras para hacer una ensalada fresca.",0,ham,hoy mercado compré manzanas naranjas peras hacer ensalada fresca
el presidente anunció nuevas medidas económicas que entrarán en vigor el próximo mes.,0,ham,presidente anunció nuevas medidas económicas entrarán vigor próximo mes
"receta tradicional de gazpacho: tomate, pepino, pimiento, ajo, aceite de oliva y vinagre.",0,ham,receta tradicional gazpacho tomate pepino pimiento ajo aceite oliva vinagre
ayer jugamos al fútbol en el parque y ganamos 3-2 contra el equipo vecino.,0,ham,ayer jugamos fútbol parque ganamos 32 equipo vecino
mi hermana está estudiando medicina en la universidad y espera graduarse en 2026.,0,ham,hermana estudiando medicina universidad espera graduarse 2026
el libro que estoy leyendo trata sobre la historia del arte contemporáneo y sus principales corrientes.,0,ham,libro leyendo trata historia arte contemporáneo principales corrientes
el clima hoy será mayormente soleado con temperaturas alrededor de 24 grados celsius.,0,ham,clima hoy mayormente soleado temperaturas alrededor 24 grados celsius
en la biblioteca encontré un libro antiguo sobre técnicas de tejido tradicional.,0,ham,biblioteca encontré libro antiguo técnicas tejido tradicional
me gusta tocar la guitarra los fines de semana mientras escucho música clásica.,0,ham,gusta tocar guitarra fines semana mientras escucho música clásica
la empresa lanzó un nuevo modelo de bicicleta eléctrica que promete mayor autonomía.,0,ham,empresa lanzó nuevo modelo bicicleta eléctrica promete mayor autonomía
el festival de cine mostrará películas independientes de varios países latinoamericanos.,0,ham,festival cine mostrará películas independientes varios países latinoamericanos
mi abuelo celebra su 80 cumpleaños y toda la familia se reunirá para una cena especial.,0,ham,abuelo celebra 80 cumpleaños toda familia reunirá cena especial
¡gana un iphone gratis! solo haz clic en este enlace: https://malicious.link,1,spam,gana iphone gratis solo haz clic enlace httpsmaliciouslink
oferta exclusiva: 50% de descuento en viajes a cancun. ¡bajo stock!,1,spam,oferta exclusiva 50 descuento viajes cancun bajo stock
"¡h除此之外, también ofrecemos registros fraudulentos de impuestos. ¡compra ya!",1,spam,ofrecemos registros fraudulentos impuestos compra
"hola, soy tuentangt? un hombre de nigeria busca socios para un negocio. ¿interesado?",1,spam,hola tuentangt hombre nigeria busca socios negocio interesado
tu cuenta bancaria ha sido قابلت. ingresa a https://phishing-bank.com para recuperar tu dinero. ¡urgente!,1,spam,cuenta bancaria sido ingresa httpsphishingbankcom recuperar dinero urgente
vende photosxxx걸 캐스팅 reeferidos. ¡paga 100€ por foto completa!,1,spam,vende photosxxx reeferidos paga 100 foto completa
¡alerta de seguridad! tu correo está comprometido. pulse aquí: https://malicious.com,1,spam,alerta seguridad correo comprometido pulse aquí httpsmaliciouscom
"promoción: compra 1 lápiz, lleva 10 gratis. ¡oferta por tiempo limitado!",0,ham,promoción compra lápiz lleva 10 gratis oferta tiempo limitado
"receta de empanadillas tradicionales. ingredientes: harina, aceite, sal",0,ham,receta empanadillas tradicionales ingredientes harina aceite sal
¿alguien puede ayudar con mi tarea de historia hispana? adjunto pdf,0,ham,alguien puede ayudar tarea historia hispana adjunto pdf
¡nuevo release de spotify! escucha gratis la música de tonight. ¡sin publicidad!,0,ham,nuevo release spotify escucha gratis música tonight publicidad
los spammers están aumentando. ¿alguien más recibe mensajes como este?,0,ham,spammers aumentando alguien recibe mensajes
error de envío: tu paquete no llegó. contacta a usps en http://usps.gov,0,ham,error envío paquete llegó contacta usps httpuspsgov
hoy es domingo. ¿alguien quiere café en la plaza?,0,ham,hoy domingo alguien quiere café plaza
suscríbete a nuestro boletín para recibir descuentos exclusivos,1,spam,suscríbete boletín recibir descuentos exclusivos
"¡oportunidad única! ganar $1,000 por día trabajando desde casa. ¡solo 3 plazas!",1,spam,oportunidad única ganar 1000 día trabajando casa solo plazas
descarga nuestra app para acceder a videos adultos gratis. ¡es seguro!,1,spam,descarga app acceder videos adultos gratis seguro
tu account ha sido hackeado. ingresa a https://hacked-login.com para restablecer tu contraseña,1,spam,account sido hackeado ingresa httpshackedlogincom restablecer contraseña
¿te gusta el fútbol? únete a nuestro grupo de telegram para discutir partidos,0,ham,gusta fútbol únete grupo telegram discutir partidos
¡felicidades! has ganado un viaje a puerto rico. clic en este enlace para confirmar,1,spam,felicidades ganado viaje puerto rico clic enlace confirmar
los bois felicidades nuevo año. ¡disfruta de nuestra pizza gourmet!,0,ham,bois felicidades nuevo año disfruta pizza gourmet
¡alerta! tu antivirus está desactualizado. compre aquí: https://malicious-antivirus.com,1,spam,alerta antivirus desactualizado compre aquí httpsmaliciousantiviruscom
¿necesitas un tutor de matemáticas? soy ingeniero y ofrezco clases a £5/h,0,ham,necesitas tutor matemáticas ingeniero ofrezco clases 5h
free iphone x available! contacto: spam@example.com,1,spam,free iphone available contacto spamexamplecom
historia de amor real. dos personas se conocieron en una fiesta en madrid,0,ham,historia amor real dos personas conocieron fiesta madrid
¡oferta limitada! compra ahora y gana un 99% de descuento en tu primera compra.,1,spam,oferta limitada compra ahora gana 99 descuento primera compra
descubre el secreto para invertir y multiplicar tus ganancias en menos de una semana.,1,spam,descubre secreto invertir multiplicar ganancias menos semana
¡haz clic aquí para recibir un regalo exclusivo y asegurar tu futuro financiero!,1,spam,haz clic aquí recibir regalo exclusivo asegurar futuro financiero
oferta especial solo hoy: suscríbete y obtén acceso ilimitado a nuestro contenido premium.,1,spam,oferta especial solo hoy suscríbete obtén acceso ilimitado contenido premium
¡alerta de phishing! tu cuenta ha sido comprometida. haz clic para verificar tu identidad.,1,spam,alerta phishing cuenta sido comprometida haz clic verificar identidad
¡envía este mensaje a todos tus contactos y gana dinero instantáneo!,1,spam,envía mensaje contactos gana dinero instantáneo
💰💸💰 dinero fácil y rápido sin esfuerzo. ¡investiga ahora!,1,spam,dinero fácil rápido esfuerzo investiga ahora
¡oferta de trabajo desde casa con salario de 5.000€ al mes! regístrate ya.,1,spam,oferta trabajo casa salario 5000 mes regístrate
descarga el nuevo virus que te permitirá obtener privilegios de administrador en cualquier dispositivo.,1,spam,descarga nuevo virus permitirá obtener privilegios administrador cualquier dispositivo
¡haz clic aquí para ver fotos exclusivas de celebridades y contenido protegido!,1,spam,haz clic aquí ver fotos exclusivas celebridades contenido protegido
¡compra ya! 50% de descuento en todos los productos de bellasaulty!,1,spam,compra 50 descuento productos bellasaulty
🚨 aprovecha la oferta de la semana: ganara 1.000.000€ en 24 horas 🚨,1,spam,aprovecha oferta semana ganara 1000000 24 horas
visita nuestro sitio web y regístrate para recibir un premio secreto inmediato,1,spam,visita sitio web regístrate recibir premio secreto inmediato
patrocinado: descubre cómo obtener seguidores instantáneos en instagram sin esfuerzo.,1,spam,patrocinado descubre cómo obtener seguidores instantáneos instagram esfuerzo
nota de interés general: el clima mañana será parcialmente nublado con temperaturas de 22°c.,0,ham,nota interés general clima mañana parcialmente nublado temperaturas 22c
hoy en la biblioteca municipal se hará una charla sobre conservación del medio ambiente.,0,ham,hoy biblioteca municipal hará charla conservación medio ambiente
receta tradicional de gazpacho para refrescar el verano.,0,ham,receta tradicional gazpacho refrescar verano
los avances recientes en inteligencia artificial están transformando varios sectores.,0,ham,avances recientes inteligencia artificial transformando varios sectores
"mañana se celebra el día de la independencia, habrá un desfile en la plaza principal.",0,ham,mañana celebra día independencia desfile plaza principal
estoy aprendiendo a tocar la guitarra y practico todos los días.,0,ham,aprendiendo tocar guitarra practico días
el hospital local inaugura una nueva unidad de cuidados intensivos esta semana.,0,ham,hospital local inaugura nueva unidad cuidados intensivos semana
¡buenos días! ¿alguien ha visto mi llave inglesa por aquí?,0,ham,buenos días alguien visto llave inglesa aquí
mi gato disfruta durmiendo bajo el sol en la ventana cada tarde.,0,ham,gato disfruta durmiendo bajo sol ventana cada tarde
¡compra ahora y obtén 50% de descuento en viajar al caribe! [enlace],1,spam,compra ahora obtén 50 descuento viajar caribe enlace
actualización importante: tu suscripción finaliza hoy. haz clic aquí para renovar,1,spam,actualización importante suscripción finaliza hoy haz clic aquí renovar
¡gana una lotería internacional! compra boletos ahora y cambia tu vida,1,spam,gana lotería internacional compra boletos ahora cambia vida
¡alertas: tu cuenta podría estar comprometida. verifica tu identidad en [enlace],1,spam,alertas cuenta podría comprometida verifica identidad enlace
oferta exclusiva: suscripción de 1 año por $1.000 al mes,1,spam,oferta exclusiva suscripción año 1000 mes
"¡recuerda! si no pagas hoy, tus servicios se suspenderán",1,spam,recuerda si pagas hoy servicios suspenderán
¡obtén regalos gratis porinvitar a tus amigos! obligaciones de 5 años,1,spam,obtén regalos gratis porinvitar amigos obligaciones años
¡este es un mensaje importante de tu banco! haz clic aquí para verificar,1,spam,mensaje importante banco haz clic aquí verificar
elisance de nuevo con unfantástico cupón del 90% off en producto x,1,spam,elisance nuevo unfantástico cupón 90 off producto
¡joysticks caros! gana un juego nuevo en menos de 24h,1,spam,joysticks caros gana juego nuevo menos 24h
¡despierta! tu historial de compras está restringido. accede a [enlace],1,spam,despierta historial compras restringido accede enlace
¡oferta flash: gana un auto nuevo hoy solo!,1,spam,oferta flash gana auto nuevo hoy solo
¡inscríbete en nuestro webinar y descubre secretos de inversión!,1,spam,inscríbete webinar descubre secretos inversión
¡tu colegaelligió contigo! haz clic para ver videos divertidos,1,spam,colegaelligió contigo haz clic ver videos divertidos
¡el portal covid-19 ha sido hackeado. bienvenida a [redes sociales],1,spam,portal covid19 sido hackeado bienvenida redes sociales
¡descarga gratis nuestra app y gana un viaje al espacio! [enlace],1,spam,descarga gratis app gana viaje espacio enlace
¡ofrecemos cursos gratis para mejorar tu vida!,0,ham,ofrecemos cursos gratis mejorar vida
"feliz cumpleaños a mi hermana, espero verte pronto",0,ham,feliz cumpleaños hermana espero verte pronto
el instituto anuncia el horario de clases para el mes de abril,0,ham,instituto anuncia horario clases mes abril
"recomiendo este libro sobre psicología positiva, es muy útil",0,ham,recomiendo libro psicología positiva útil
¿puedes ayudarme con la receta de arroz con pollo?,0,ham,puedes ayudarme receta arroz pollo
actualización del gobierno sobre restricciones de viaje,0,ham,actualización gobierno restricciones viaje
me encantó la exhibición del museo de arte contemporáneo,0,ham,encantó exhibición museo arte contemporáneo
consejo deauería: compara seguros antes de comprar,0,ham,consejo deauería compara seguros comprar
¡el festival de música comienza mañana en la plaza principal!,0,ham,festival música comienza mañana plaza principal
¡descubre la dieta milagrosa para perder 10kg en 3 días! compra nuestro plan ahora: enlace_secreto,1,spam,descubre dieta milagrosa perder 10kg días compra plan ahora enlacesecreto
¡urgencia! tu tarjeta de crédito está bloqueada. haga clic aquí para desbloquearla: enlac_emergencia,1,spam,urgencia tarjeta crédito bloqueada haga clic aquí desbloquearla enlacemergencia
