mensaje,spam,label,mensaje_limpio
ofrezco aprender español a cambio de un café. ¿interesado?,0,ham,ofrezco aprender español cambio café interesado
te invito a unirte a un grupo financiero secreto donde las ganancias están garantizadas.,1,spam,invito unirte grupo financiero secreto ganancias garantizadas
¡gana 1000$ en minutos! ingresa tu nombre y ssn para recibir el dinero.,1,spam,gana 1000 minutos ingresa nombre ssn recibir dinero
"renatech ag, una compañía que produce piezas de coche, vende suspensiones pirelli porque...?",0,ham,renatech ag compañía produce piezas coche vende suspensiones pirelli
"tengo una reunión mañana a las diez, así que necesito preparar la presentación.",0,ham,reunión mañana diez así necesito preparar presentación
¿cuál es la capital de uruguay? montevideo.,0,ham,cuál capital uruguay montevideo
¡oferta exclusiva! compra mi curso de inversiones y duplica tu dinero en 30 días. regístrate aquí: curso-millonario.com 💰💰,1,spam,oferta exclusiva compra curso inversiones duplica dinero 30 días regístrate aquí cursomillonariocom
compra esta entrada en el concierto por solo 5€. xxxofertaxxx,1,spam,compra entrada concierto solo xxxofertaxxx
¡arresta tu cuenta bancaria en 24h! haz clic aquí: [enlace sospechoso],1,spam,arresta cuenta bancaria 24h haz clic aquí enlace sospechoso
"esquema de enriquecimiento rápido: invierte 100€ y recibe 1000€ en 24 horas, sin riesgos.",1,spam,esquema enriquecimiento rápido invierte 100 recibe 1000 24 horas riesgos
descargue este pdf para acceder a un hack de instagram. no hay virus,1,spam,descargue pdf acceder hack instagram virus
¡sistema gratuito de trading automático! ganarás 3% diario. solo aquí: bot.trading.pro,1,spam,sistema gratuito trading automático ganarás diario solo aquí bottradingpro
invierte en este increíble proyecto y multiplica tu dinero en 3 pasos fáciles. ¡garantía de devolución!,1,spam,invierte increíble proyecto multiplica dinero pasos fáciles garantía devolución
"¡compra ahora! descuento exclusivo 90% off en productos de belleza, solo por tiempo limitado!",1,spam,compra ahora descuento exclusivo 90 off productos belleza solo tiempo limitado
"me encanta la arquitectura de gaudí, especialmente la sagrada familia.",0,ham,encanta arquitectura gaudí especialmente sagrada familia
esquema fraudulento: pague 10€ ahora y reciba un auto barato en 2 semanas.,1,spam,esquema fraudulento pague 10 ahora reciba auto barato semanas
tengo una cita con el dentista a las tres de la tarde.,0,ham,cita dentista tres tarde
informe sospechoso: el nuevo medicamento milagroso curó el cáncer en 24 horas – compra ya,1,spam,informe sospechoso nuevo medicamento milagroso curó cáncer 24 horas compra
descarga la actualización más reciente de spotify gratis en este enlace: https://spotify.lat/3.0,1,spam,descarga actualización reciente spotify gratis enlace httpsspotifylat30
¡felicidades por su reciente graduación! espero poder ayudarle en sus próximos pasos.,0,ham,felicidades reciente graduación espero poder ayudarle próximos pasos
"invierte $100 y recibe $1,000 en 7 días. la red es infinita!",1,spam,invierte 100 recibe 1000 días red infinita
me gusta escuchar música clásica los domingos.,0,ham,gusta escuchar música clásica domingos
¡alertas de malware! haz clic aquí para escanear tu computadora y eliminar amenazas potenciales. protección instantánea garantizada.,1,spam,alertas malware haz clic aquí escanear computadora eliminar amenazas potenciales protección instantánea garantizada
envíame $500 a esta cuenta microsoft para ganar un viaje gratis...,1,spam,envíame 500 cuenta microsoft ganar viaje gratis
hace frío hoy. ¿llevaste tu par de abrigos? salida a natural en 10:00,0,ham,hace frío hoy llevaste par abrigos salida natural 1000
¡feliz cumpleaños! espero que tengas un día increíble.,0,ham,feliz cumpleaños espero día increíble
¡tu computadora está infectada! paga 300$ para limpiarla con nuestro servicio premium.,1,spam,computadora infectada paga 300 limpiarla servicio premium
urgente!!! ganar dinero rápido en 24 horas. ¡no lo dejes pasar!!! 📈💰,1,spam,urgente ganar dinero rápido 24 horas dejes pasar
"hoy hice una tarta de zanahoria y la probaron todos, inclusión a mi perro.",0,ham,hoy hice tarta zanahoria probaron inclusión perro
"presenta tu código secreto y obtendrás acceso a contenido exclusivo para adultos, solo por invitación.",1,spam,presenta código secreto obtendrás acceso contenido exclusivo adultos solo invitación
"descarga el archivo .exe que te hará famoso, contiene virus para controlar tu pc.",1,spam,descarga archivo exe hará famoso contiene virus controlar pc
el préstamo rápido de 500€ en 24h. solo responda sí o no. no hay multas,1,spam,préstamo rápido 500 24h solo responda multas
recientemente vi una película interesante sobre la historia del arte.,0,ham,recientemente vi película interesante historia arte
"recientemente descubrí una canción que combina jazz y electrónica, y me fascina cómo se fusionan los estilos.",0,ham,recientemente descubrí canción combina jazz electrónica fascina cómo fusionan estilos
"hola, ¿cómo estás? espero que estés bien. tu amigo juan te invitó a un evento cultural este sábado.",0,ham,hola cómo espero bien amigo juan invitó evento cultural sábado
estoy organizando mi agenda para la próxima semana.,0,ham,organizando agenda próxima semana
¡alerta!: su paquete fue entregado en la dirección correcta. gracias por comprarlo.,0,ham,alerta paquete entregado dirección correcta gracias comprarlo
¡atención! su cuenta de bancomer fue bloqueada por actividad sospechosa. haz clic aquí para restablecerla.,1,spam,atención cuenta bancomer bloqueada actividad sospechosa haz clic aquí restablecerla
el concierto de jazz será este viernes en el centro cultural a las 20:00,0,ham,concierto jazz viernes centro cultural 2000
"hola, mi nombre es carlos. quiero coordinar un evento comunitario.",0,ham,hola nombre carlos quiero coordinar evento comunitario
¡descarga el malware exclusivo para mejorar tu pc! haz clic en el siguiente enlace y actualiza ahora.,1,spam,descarga malware exclusivo mejorar pc haz clic siguiente enlace actualiza ahora
estamos en promociones: compre 3 y lleve 1 gratis en ropa interior,0,ham,promociones compre lleve gratis ropa interior
¡alerta! tu computadora tiene un virus. llama al número 022-666-7777 para eliminarolo.,1,spam,alerta computadora virus llama número 0226667777 eliminarolo
ofrecemos servicios de seo para aumentar tu tráfico web. ¡contáctanos!,1,spam,ofrecemos servicios seo aumentar tráfico web contáctanos
el clima mañana será soleado. perfecto para picnic.,0,ham,clima mañana soleado perfecto picnic
🚨 atención 🚨: tu participación en la rifa de $500 está a un clic de distancia. ¡no dejes pasar esta oportunidad!,1,spam,atención participación rifa 500 clic distancia dejes pasar oportunidad
¿tienes preguntas? envíanos un email a soporte@ejemplo.com,0,ham,preguntas envíanos email soporteejemplocom
"feliz cumpleaños, hermano carlos. que el año que viene te traiga suerte y salud 🎂✨",0,ham,feliz cumpleaños hermano carlos año viene traiga suerte salud
descarga ahora el software gratuito que garantiza el 100% de éxito en tus proyectos y sin virus.,1,spam,descarga ahora software gratuito garantiza 100 éxito proyectos virus
gracias por tu ayuda en el proyecto; tu aporte fue clave para el éxito del informe.,0,ham,gracias ayuda proyecto aporte clave éxito informe
verifique su cuenta bancaria aquí: https://secure-bank-login.fake.com (¡actualice su información ahora!),1,spam,verifique cuenta bancaria aquí httpssecurebankloginfakecom actualice información ahora
¿sabes dónde está el hospital más cercano? no juego δεcken.,0,ham,sabes dónde hospital cercano juego cken
gana 500€ diarios invirtiendo en criptomonedas. únete a nuestro grupo exclusivo en telegram ahora.,1,spam,gana 500 diarios invirtiendo criptomonedas únete grupo exclusivo telegram ahora
publicidad comercial no solicitada: compra ahora y recibe un regalo sorpresa,1,spam,publicidad comercial solicitada compra ahora recibe regalo sorpresa
¿quieres probar un nuevo enfoque de inversión? ¡triplica tu dinero en un día! envíame tu información bancaria.,1,spam,quieres probar nuevo enfoque inversión triplica dinero día envíame información bancaria
¿cuál es tu libro favorito de la infancia?,0,ham,cuál libro favorito infancia
¡corre! el sitio web cerca está caído. ¿por qué no me envías tu ubicaci0n?,1,spam,corre sitio web cerca caído envías ubicaci0n
"invitacíon a cena: hola, ¿le gustaría cenar en nuestro restaurante este jueves?",0,ham,invitacíon cena hola gustaría cenar restaurante jueves
descarga gratis este archivo para obtener visibilidad vip. es 100% seguro! [enlace],1,spam,descarga gratis archivo obtener visibilidad vip 100 seguro enlace
descubre el secreto para enriquecerte rápidamente con nuestro método exclusivo de inversión de alto rendimiento. haz clic aquí para recibir la guía completa.,1,spam,descubre secreto enriquecerte rápidamente método exclusivo inversión alto rendimiento haz clic aquí recibir guía completa
"comprueba ahora el nuevo malware que puede afectar su computadora, descárguelo gratis y protéjase de ataques.",1,spam,comprueba ahora nuevo malware puede afectar computadora descárguelo gratis protéjase ataques
🚀🚀🚀 gana dinero fácil con nuestro nuevo scheme de enriquecimiento rápido 🚀🚀🚀,1,spam,gana dinero fácil nuevo scheme enriquecimiento rápido
"¡te esperamos para unirte a nuestro negocio de enriquecimiento rápido! solo ingresa $500 hoy y ganarás $10,000 en 1 mes. ¡no te lo pierdas!",1,spam,esperamos unirte negocio enriquecimiento rápido solo ingresa 500 hoy ganarás 10000 mes pierdas
oferta: 5 cursos de marketing digital por 10€. ¡no te lo pierdas!,1,spam,oferta cursos marketing digital 10 pierdas
"hoy el clima en madrid será parcialmente nublado con temperaturas entre 12 y 18 grados, ideal para pasear por el retiro.",0,ham,hoy clima madrid parcialmente nublado temperaturas 12 18 grados ideal pasear retiro
¡clic en el botón rojo para ver tu selección de hombres! 🔥👨,1,spam,clic botón rojo ver selección hombres
actualización de seguridad: necesitas reiniciar tu dispositivo para eliminar bugs. [archivo.exe],1,spam,actualización seguridad necesitas reiniciar dispositivo eliminar bugs archivoexe
¡no ignore esta actualización de seguridad importante! actualice su dispositivo ahora: http://secure-update.com,1,spam,ignore actualización seguridad importante actualice dispositivo ahora httpsecureupdatecom
oferta: entrenamiento personalizado por 30% de descuento. ¡solo para hoy!,1,spam,oferta entrenamiento personalizado 30 descuento solo hoy
¿buscas un trabajo? únete a nuestra red de freelancers y cobra $500 por hora. ¡contáctanos al instante!,1,spam,buscas trabajo únete red freelancers cobra 500 hora contáctanos instante
estudios clínicos: fármaco nuevo contra la diabetes. contacto: doc@salud.es,0,ham,estudios clínicos fármaco nuevo diabetes contacto docsaludes
¡gato rescue! tu mascota ha sidopromise! envía 50€ a esta aplicación para recuperarla.,1,spam,gato rescue mascota sidopromise envía 50 aplicación recuperarla
¡gana dinero rápido!!! 💸💸💸💰💰🎁 solo haz clic aquí: comprueba.gg/gana,1,spam,gana dinero rápido solo haz clic aquí compruebagggana
tu sobrino agoniza... ayúdalo con 5€ al día. lo que donas puede salvarle la vida. ❤️,1,spam,sobrino agoniza ayúdalo día donas puede salvarle vida
alertas de seguridad: tu banco exige confirmación de transacciones en este formulario. [formulario phishing],1,spam,alertas seguridad banco exige confirmación transacciones formulario formulario phishing
¡atención! su outdated antivirus podría exponer datos personales. actualice ahora: [link_spam],1,spam,atención outdated antivirus podría exponer datos personales actualice ahora linkspam
¡urgente! update tu contraseña en bit.ly/secureaccount o perderás tu cuenta.,1,spam,urgente update contraseña bitlysecureaccount perderás cuenta
¡alerta! tu computadora tiene un virus. descarga este archivo para limpiarla: malware.exe,1,spam,alerta computadora virus descarga archivo limpiarla malwareexe
"masajes бесплатных en directo, ayuda a alguien y ganas 50€",1,spam,masajes directo ayuda alguien ganas 50
"aviso urgente: tu computadora está infectada, haz clic aquí para escanear y reparar inmediatamente.",1,spam,aviso urgente computadora infectada haz clic aquí escanear reparar inmediatamente
¡estás infectado! descarga este antivirus urgente: http://malware.es. ¡no se lo pase a nadie!,1,spam,infectado descarga antivirus urgente httpmalwarees pase nadie
plataforma de inversión en divisas digitales. ¡garantizado un 200% de utilidad mensual!,1,spam,plataforma inversión divisas digitales garantizado 200 utilidad mensual
eres el ganador de un iphone 14 pro. solo haz clic en este enlace para reclamar: ,1,spam,ganador iphone 14 pro solo haz clic enlace reclamar
"queremosuelta, ¿compras ropa vintage? escríbenos para un brinde gratis.",0,ham,queremosuelta compras ropa vintage escríbenos brinde gratis
¡oferta exclusiva! compra ahora y gana el 100% de devolución. ¡últimas unidades!,1,spam,oferta exclusiva compra ahora gana 100 devolución últimas unidades
"mi gato se enfermó ayer, estoy preocupado por su salud.",0,ham,gato enfermó ayer preocupado salud
invierte en bitcoin y duplica tu dinero en 24 horas. [enlace] sin riesgo. ¡última oportunidad!,1,spam,invierte bitcoin duplica dinero 24 horas enlace riesgo última oportunidad
la reunión de mañana será en la sala de conferencias del tercer piso.,0,ham,reunión mañana sala conferencias tercer piso
la reunión será a las 3 en la sala b,0,ham,reunión sala
¿te parece si intercambiamos recetas de cocina tradicional? tengo una buena de tamales.,0,ham,parece si intercambiamos recetas cocina tradicional buena tamales
actualización de la aplicación de gestión de tareas: nueva función de recordatorios por ubicación y sincronización multiplataforma.,0,ham,actualización aplicación gestión tareas nueva función recordatorios ubicación sincronización multiplataforma
¡haz clic aquí para conseguir un préstamo rápido sin intereses y sin papeles!,1,spam,haz clic aquí conseguir préstamo rápido intereses papeles
¡oferta limitada de seguros de vida! contrata ahora y ahorra hasta un 80% en la prima anual. llama al 1-800-xxx-xxx.,1,spam,oferta limitada seguros vida contrata ahora ahorra 80 prima anual llama 1800xxxxxx
estoy buscando un compañero para correr. ¿quieres unirte?,0,ham,buscando compañero correr quieres unirte
no creer estos milagros de sabor. ¡tratamiento milagroso para lowering la hipertensión!,1,spam,creer milagros sabor tratamiento milagroso lowering hipertensión
descarga ahora el archivo 'documento.zip' que contiene un virus que borrará todos tus archivos. ejecuta para ver el contenido.,1,spam,descarga ahora archivo documentozip contiene virus borrará archivos ejecuta ver contenido
¿sabias que el mate puede reducir el estrés? únete a nuestra clase virtual cada domingo a las 5 pm.,0,ham,sabias mate puede reducir estrés únete clase virtual cada domingo pm
"usamos estos emojis 😍🔥💸 para saludarle, ¿verdad? ¡no se preocupe, es real!",1,spam,usamos emojis saludarle verdad preocupe real
necesito ayuda para recuperar mi cuenta,0,ham,necesito ayuda recuperar cuenta
¡atención! recibiste un premio global. clic en el enlace: gift.xyz,1,spam,atención recibiste premio global clic enlace giftxyz
¡oferta! compra un curso de enriquecimiento rápido y recibe un 200% de devolución garantizada.,1,spam,oferta compra curso enriquecimiento rápido recibe 200 devolución garantizada
haga clic aquí para ver el video viral que todos están compartiendo: www.viralvideo.com/watch?ref=spam,1,spam,haga clic aquí ver video viral compartiendo wwwviralvideocomwatchrefspam
ayer leí un artículo interesante sobre la historia del arte contemporáneo.,0,ham,ayer leí artículo interesante historia arte contemporáneo
¡haz clic aquí para recibir premios instantáneos! https://bit.ly/fraude2025,1,spam,haz clic aquí recibir premios instantáneos httpsbitlyfraude2025
malware: actualice su antivirus antes del 21 de mayo o perderá acceso a su dispositivo.,1,spam,malware actualice antivirus 21 mayo perderá acceso dispositivo
"¡atención! tu cuenta ha sido seleccionada para un premio de 100.000€, responde ahora para reclamarlo.",1,spam,atención cuenta sido seleccionada premio 100000 responde ahora reclamarlo
solicitud de ayuda urgente: necesito dinero para una causa humanitaria. dona ahora.,1,spam,solicitud ayuda urgente necesito dinero causa humanitaria dona ahora
tu pareja te espera en la débats. ¡únete a la comunidad de citas en línea!,0,ham,pareja espera débats únete comunidad citas línea
felicidades! ganó un premio en nuestra rifa semanal.,0,ham,felicidades ganó premio rifa semanal
¡sorteo: gana un iphone 15 gratis! solo responde a este mensaje antes de las 23:00. ¡es real!,1,spam,sorteo gana iphone 15 gratis solo responde mensaje 2300 real
announcio! compra ahora el nuevo iphone x a mitad de precio.,1,spam,announcio compra ahora nuevo iphone mitad precio
haz clic aquí para ver el video de la estafa de inversión segura: http://fraude.com,1,spam,haz clic aquí ver video estafa inversión segura httpfraudecom
¿buscas trabajo rápido? investigue este esquema piramidal que promete millions en 3 días. ¡solo registradoes!,1,spam,buscas trabajo rápido investigue esquema piramidal promete millions días solo registradoes
¡ofreceremos $200 por referencia! contáctanos si quieres unirte a nuestro equipo.,1,spam,ofreceremos 200 referencia contáctanos si quieres unirte equipo
suscripción fraudulenta: actualiza tu cuenta en 24h o serás bloqueado.(kindioso2023$),1,spam,suscripción fraudulenta actualiza cuenta 24h bloqueadokindioso2023
tu cuenta de banca ha sido bloqueada. haz clic aquí para restablecer [enlace],1,spam,cuenta banca sido bloqueada haz clic aquí restablecer enlace
hoy es el día de la donar. compra una.xlabel y haz la diferencia.,0,ham,hoy día donar compra unaxlabel haz diferencia
"invita a 5 amigos y gana una vacación gratuita. ¡no mentir, o no contar!",1,spam,invita amigos gana vacación gratuita mentir contar
descarga gratis este antivirus 'ultrasafe' para proteger su dispositivo.,1,spam,descarga gratis antivirus ultrasafe proteger dispositivo
¿busca ofertas en libros? en nuestra tienda en línea tiene promociones diarias. visite: https://libreria.es,0,ham,busca ofertas libros tienda línea promociones diarias visite httpslibreriaes
palabra del día: 'increíble'. significa lo que esperas.,0,ham,palabra día increíble significa esperas
el gato de mis serious soy muy juguetón. le gusta persiguiendo luces.,0,ham,gato serious juguetón gusta persiguiendo luces
¡oferta de libros usados! 5 € por novela. envía el nombre a missvendee@spam.com,0,ham,oferta libros usados novela envía nombre missvendeespamcom
planifico viajar a la costa el próximo mes y buscaré alojamiento.,0,ham,planifico viajar costa próximo mes buscaré alojamiento
aviso importante: cambia tu número de tarjeta de crédito a este nuevo número para evitar cargos fraudulentos.,1,spam,aviso importante cambia número tarjeta crédito nuevo número evitar cargos fraudulentos
recomendación: el queso fresco de la madraza es delicioso. 2€ por kilo.,0,ham,recomendación queso fresco madraza delicioso kilo
🎉🔥¡oferta increíble!!! compra ya!! compra ya!!!,1,spam,oferta increíble compra compra
queremos informarle que ahora hay cursos gratuitos de python. ¿interesado?,0,ham,queremos informarle ahora cursos gratuitos python interesado
recuerda que la feria de empleo termina hoy. más información en el enlace adjunto.,0,ham,recuerda feria empleo termina hoy información enlace adjunto
este mensaje contiene una invitación a participar en una encuesta sobre preferencias de consumo. tu opinión es valiosa y no hay costo alguno.,0,ham,mensaje contiene invitación participar encuesta preferencias consumo opinión valiosa costo alguno
"¡vende tu auto ahora! sin viajes, solo dinero. contacta al 0123456789",0,ham,vende auto ahora viajes solo dinero contacta 0123456789
contenido para adultos: acceda a: bit.ac/de-pago. no es gratuito.,1,spam,contenido adultos acceda bitacdepago gratuito
tu amigo carlos está en peligro. llama ahora al 0987654321. ¡es urgente!,0,ham,amigo carlos peligro llama ahora 0987654321 urgente
¡.executa este archivo y obtén el virus que elimina todos tus impuestos. ¡solo para ayudarte!,1,spam,executa archivo obtén virus elimina impuestos solo ayudarte
"para appraisal, haz clic aquí: https://spam-respaldado.com/hojas-de-cálculo. ¡gratis para siempre! 📊",1,spam,appraisal haz clic aquí httpsspamrespaldadocomhojasdecálculo gratis siempre
necesito ayuda con un proyecto escolar de química. ¿puedes explicarme la periodic table en español?,0,ham,necesito ayuda proyecto escolar química puedes explicarme periodic table español
uso excesivo de mayúsculas y signos: ¡compralo ahora!!! ¡oferta imperdible!!!,1,spam,uso excesivo mayúsculas signos compralo ahora oferta imperdible
aviso: tu membresia expira en 7 dias. recarga aquí: membresia.nos.dao,1,spam,aviso membresia expira dias recarga aquí membresianosdao
¿te gustaría probar una nueva receta de pastel de chocolate? aquí tienes la lista de ingredientes.,0,ham,gustaría probar nueva receta pastel chocolate aquí lista ingredientes
¡f mậtale libre de malware! escanea su teléfono con antispy ahora,1,spam,mtale libre malware escanea teléfono antispy ahora
"hola, tu cuenta de paypal ha sido comprometida. verifica tu identidad aquí: https://secure-paypa1.com/verify",1,spam,hola cuenta paypal sido comprometida verifica identidad aquí httpssecurepaypa1comverify
¿sabías que el 90% de los usuarios no saben qué es un virus? únete a nuestro taller gratuito.,0,ham,sabías 90 usuarios saben virus únete taller gratuito
¡este es un mensaje de un banco oficial! confirma tu identity aquí: verifica.pl,1,spam,mensaje banco oficial confirma identity aquí verificapl
¡ganadores! ¡felicidades por ganar el concurso de fotografía! reciba su premio aquí: prizes.com,0,ham,ganadores felicidades ganar concurso fotografía reciba premio aquí prizescom
¡tu bebé es un prodigio! ofrecemos clases de desarrollo infantil con certificados. ¡reserva ahora!,1,spam,bebé prodigio ofrecemos clases desarrollo infantil certificados reserva ahora
¡oferta: investir $10k y ganar $1m en 30 días! contacta al monseñor @spamtimerico123,1,spam,oferta investir 10k ganar 1m 30 días contacta monseñor spamtimerico123
"hola, soy positif123. ¿quieres seguir mi cuenta en instagram? me gustaría que te unas a mi familia de fans.",0,ham,hola positif123 quieres seguir cuenta instagram gustaría unas familia fans
visitamos el museo de historia natural y vimos una exposición sobre dinosaurios.,0,ham,visitamos museo historia natural vimos exposición dinosaurios
¡oferta exclusiva! compra ahora y recibe un 50% de descuento. publicidad comercial no solicitada. ¡no te lo pierdas!,1,spam,oferta exclusiva compra ahora recibe 50 descuento publicidad comercial solicitada pierdas
haz clic aquí y descubre el secreto para invertir en criptomonedas y obtener 200% de retorno garantizado.,1,spam,haz clic aquí descubre secreto invertir criptomonedas obtener 200 retorno garantizado
espresso tu amor: envía flores a través de este enlace...,0,ham,espresso amor envía flores través enlace
la reunión de mañana será sobre la actualización de los objetivos trimestrales.,0,ham,reunión mañana actualización objetivos trimestrales
actualización del tiempo en madrid: hoy hace 22°c y hay posibilidades de lluvia al atardecer.,0,ham,actualización tiempo madrid hoy hace 22c posibilidades lluvia atardecer
¡gana un iphone 15 pro! solo entra a este sitio. [enlace],1,spam,gana iphone 15 pro solo entra sitio enlace
tú amigo carlos necesita ayuda financiera ❤️ 💸,0,ham,amigo carlos necesita ayuda financiera
recientemente vi una película que recibió muy buenas críticas.,0,ham,recientemente vi película recibió buenas críticas
"urgente: tu cuenta ha sido seleccionada para recibir un premio exclusivo, responde ahora para reclamarlo.",1,spam,urgente cuenta sido seleccionada recibir premio exclusivo responde ahora reclamarlo
la escuela secundaria donde estudié organizó una exposición de arte.,0,ham,escuela secundaria estudié organizó exposición arte
soy doctora y ofrezco consulta urgente. agenda una cita gratis hoy.,0,ham,doctora ofrezco consulta urgente agenda cita gratis hoy
me encanta cómo estás progresando en español.,0,ham,encanta cómo progresando español
alerta: su huella digital está comprometida. ¡haga clic en este enlace para صرف!,1,spam,alerta huella digital comprometida haga clic enlace
¡oferta de viaje a marte! encuentra tu pasaje aquí: [enlace],1,spam,oferta viaje marte encuentra pasaje aquí enlace
"¡oferta: compra 2 ropa, lleva 1 gratis! solo hoy en nuestra web oficial",0,ham,oferta compra ropa lleva gratis solo hoy web oficial
descubre los secretos de la naturaleza con nuestro nuevo libro de aventura. encuentra inspiración en cada página.,0,ham,descubre secretos naturaleza nuevo libro aventura encuentra inspiración cada página
¿has visto la última exposición de arte contemporáneo en la ciudad?,0,ham,visto última exposición arte contemporáneo ciudad
alerta de phishing: tu banco necesita tu contraseña y código de seguridad. ¡responde ahora!,1,spam,alerta phishing banco necesita contraseña código seguridad responde ahora
