mensaje,spam,label
¿Has leído algún buen libro últimamente? Te recomendaría 'La sombra del viento'.,0,ham
Mi perro se llama Bruno y le encanta correr en el parque los domingos.,0,ham
"Tengo una duda sobre la forma de calcular intereses compuestos, ¿puedes ayudarme?",0,ham
Me gusta escuchar podcasts de tecnología; el último episodio habló de IA ética.,0,ham
¿Planeas viajar a algún destino este verano? Yo estoy pensando en visitar Barcelona.,0,ham
Hoy en la reunión de trabajo hablamos sobre la implementación de una nueva herramienta de gestión de proyectos.,0,ham
¿Podrías recomendarme una serie de Netflix que sea entretenida pero no demasiado intensa?,0,ham
¡OFERTA EXCLUSIVA! Compra el nuevo suero milagroso que te hará perder 5 kg en una semana. Haz clic aquí antes de que se agote.,1,spam
"Gana dinero fácil con este método secreto, sin estudios ni experiencia. Ingresa al enlace y empieza a cobrar hoy mismo.",1,spam
URGENTE: Has ganado una vacación de 7 días en las playas de Dubái. Responde ahora para confirmar tu premio.,1,spam
Descubre el secreto de los inversionistas que duplicaron su dinero en 30 días. Regístrate gratis y recibe el manual exclusivo.,1,spam
¡Haz clic y obtén un iPhone gratis! Solo necesitas compartir esta página con 5 amigos y pagar una pequeña tarifa.,1,spam
Protege tu computadora con el nuevo antivirus revolucionario que elimina cualquier malware en segundos. Descárgalo ahora desde este enlace seguro.,1,spam
Oferta limitada: Suscripción mensual a contenido adulto premium por solo $9.99. ¡Accede ya!,1,spam
CAMBIO DE DIVISAS: Invierte en dólares y obtén un retorno del 200% en 24 horas. Regístrate sin compromiso.,1,spam
¡ATENCIÓN! Tu cuenta de redes sociales ha sido seleccionada para recibir un regalo especial. Haz clic aquí para reclamarlo antes de que expire.,1,spam
Descubre el método infalible para invertir en criptomonedas y obtener ganancias diarias del 5 %. Regístrate hoy.,1,spam
¿Quieres mejorar tu vida sexual? Compra ahora nuestro gel mejorador con envío discreto. Haz clic aquí y aprovecha el descuento del 30 %.,1,spam
¡Participa y gana una PlayStation 5! Solo tienes que compartir este enlace en tus redes sociales y completar una breve encuesta.,1,spam
ATENCIÓN: Tu computadora está infectada por un virus. Haz clic aquí para descargar la herramienta de reparación inmediata.,1,spam
"Hoy fui al mercado y compré manzanas, naranjas y peras para hacer una ensalada fresca.",0,ham
El presidente anunció nuevas medidas económicas que entrarán en vigor el próximo mes.,0,ham
"Receta tradicional de gazpacho: tomate, pepino, pimiento, ajo, aceite de oliva y vinagre.",0,ham
Ayer jugamos al fútbol en el parque y ganamos 3-2 contra el equipo vecino.,0,ham
Mi hermana está estudiando medicina en la universidad y espera graduarse en 2026.,0,ham
El libro que estoy leyendo trata sobre la historia del arte contemporáneo y sus principales corrientes.,0,ham
El clima hoy será mayormente soleado con temperaturas alrededor de 24 grados Celsius.,0,ham
En la biblioteca encontré un libro antiguo sobre técnicas de tejido tradicional.,0,ham
Me gusta tocar la guitarra los fines de semana mientras escucho música clásica.,0,ham
La empresa lanzó un nuevo modelo de bicicleta eléctrica que promete mayor autonomía.,0,ham
El festival de cine mostrará películas independientes de varios países latinoamericanos.,0,ham
Mi abuelo celebra su 80 cumpleaños y toda la familia se reunirá para una cena especial.,0,ham
¡Gana un iPhone gratis! Solo haz clic en este enlace: https://malicious.link,1,spam
Oferta exclusiva: 50% de descuento en viajes a Cancun. ¡Bajo stock!,1,spam
"¡H除此之外, también ofrecemos registros fraudulentos de impuestos. ¡Compra ya!",1,spam
"Hola, soy tuentangt? Un hombre de Nigeria busca socios para un negocio. ¿Interesado?",1,spam
Tu cuenta Bancaria ha sido قابلت. Ingresa a https://phishing-bank.com para recuperar tu dinero. ¡Urgente!,1,spam
Vende photosxxx걸 캐스팅 reeferidos. ¡Paga 100€ por foto completa!,1,spam
¡Alerta de seguridad! Tu correo está comprometido. pulse aquí: https://malicious.com,1,spam
"Promoción: Compra 1 lápiz, lleva 10 gratis. ¡Oferta por tiempo limitado!",0,ham
"Receta de empanadillas tradicionales. Ingredientes: harina, aceite, sal",0,ham
¿Alguien puede ayudar con mi tarea de historia hispana? Adjunto PDF,0,ham
¡Nuevo release de Spotify! Escucha gratis la música de tonight. ¡Sin publicidad!,0,ham
Los spammers están aumentando. ¿Alguien más recibe mensajes como este?,0,ham
Error de envío: Tu paquete no llegó. Contacta a USPS en http://usps.gov,0,ham
Hoy es domingo. ¿Alguien quiere café en la plaza?,0,ham
Suscríbete a nuestro boletín para recibir descuentos exclusivos,1,spam
"¡Oportunidad única! Ganar $1,000 por día trabajando desde casa. ¡Solo 3 plazas!",1,spam
Descarga nuestra app para acceder a videos adultos gratis. ¡Es seguro!,1,spam
Tu account ha sido hackeado. Ingresa a https://hacked-login.com para restablecer tu contraseña,1,spam
¿Te gusta el fútbol? Únete a nuestro grupo de Telegram para discutir partidos,0,ham
¡Felicidades! Has ganado un viaje a Puerto Rico. Clic en este enlace para confirmar,1,spam
Los bois felicidades nuevo año. ¡Disfruta de nuestra pizza gourmet!,0,ham
¡Alerta! Tu antivirus está desactualizado. Compre aquí: https://malicious-antivirus.com,1,spam
¿Necesitas un tutor de matemáticas? Soy ingeniero y ofrezco clases a £5/h,0,ham
Free iPhone X available! Contacto: spam@example.com,1,spam
Historia de amor real. Dos personas se conocieron en una fiesta en Madrid,0,ham
¡Oferta limitada! Compra ahora y gana un 99% de descuento en tu primera compra.,1,spam
Descubre el secreto para invertir y multiplicar tus ganancias en menos de una semana.,1,spam
¡Haz clic aquí para recibir un regalo exclusivo y asegurar tu futuro financiero!,1,spam
Oferta especial solo hoy: suscríbete y obtén acceso ilimitado a nuestro contenido premium.,1,spam
¡Alerta de phishing! Tu cuenta ha sido comprometida. Haz clic para verificar tu identidad.,1,spam
¡Envía este mensaje a todos tus contactos y gana dinero instantáneo!,1,spam
💰💸💰 Dinero fácil y rápido sin esfuerzo. ¡Investiga ahora!,1,spam
¡Oferta de trabajo desde casa con salario de 5.000€ al mes! Regístrate ya.,1,spam
Descarga el nuevo virus que te permitirá obtener privilegios de administrador en cualquier dispositivo.,1,spam
¡Haz clic aquí para ver fotos exclusivas de celebridades y contenido protegido!,1,spam
¡COMPRA YA! 50% DE DESCUENTO EN TODOS LOS PRODUCTOS DE BELLASAULTY!,1,spam
🚨 APROVECHA LA OFERTA DE LA SEMANA: GANARA 1.000.000€ EN 24 HORAS 🚨,1,spam
VISITA NUESTRO SITIO WEB Y REGÍSTRATE PARA RECIBIR UN PREMIO SECRETO INMEDIATO,1,spam
Patrocinado: Descubre cómo obtener seguidores instantáneos en Instagram sin esfuerzo.,1,spam
Nota de interés general: El clima mañana será parcialmente nublado con temperaturas de 22°C.,0,ham
Hoy en la biblioteca municipal se hará una charla sobre conservación del medio ambiente.,0,ham
Receta tradicional de gazpacho para refrescar el verano.,0,ham
Los avances recientes en inteligencia artificial están transformando varios sectores.,0,ham
"Mañana se celebra el día de la independencia, habrá un desfile en la plaza principal.",0,ham
Estoy aprendiendo a tocar la guitarra y practico todos los días.,0,ham
El hospital local inaugura una nueva unidad de cuidados intensivos esta semana.,0,ham
¡Buenos días! ¿Alguien ha visto mi llave inglesa por aquí?,0,ham
Mi gato disfruta durmiendo bajo el sol en la ventana cada tarde.,0,ham
¡Compra ahora y obtén 50% de descuento en viajar al Caribe! [Enlace],1,spam
Actualización importante: Tu suscripción finaliza hoy. Haz clic aquí para renovar,1,spam
¡Gana una lotería internacional! Compra boletos ahora y cambia tu vida,1,spam
¡Alertas: Tu cuenta podría estar comprometida. Verifica tu identidad en [enlace],1,spam
Oferta exclusiva: Suscripción de 1 año por $1.000 al mes,1,spam
"¡Recuerda! Si no pagas hoy, tus servicios se suspenderán",1,spam
¡Obtén regalos gratis porInvitar a tus amigos! Obligaciones de 5 años,1,spam
¡Este es un mensaje importante de tu banco! Haz clic aquí para verificar,1,spam
Elisance de nuevo con unFantástico Cupón del 90% OFF en producto X,1,spam
¡Joysticks Caros! Gana un juego nuevo en menos de 24h,1,spam
¡Despierta! Tu historial de compras está restringido. Accede a [enlace],1,spam
¡Oferta Flash: Gana un auto nuevo hoy solo!,1,spam
¡Inscríbete en nuestro webinar y descubre secretos de inversión!,1,spam
¡Tu colegaelligió contigo! Haz clic para ver videos divertidos,1,spam
¡El portal COVID-19 ha sido hackeado. Bienvenida a [redes sociales],1,spam
¡Descarga gratis nuestra app y gana un viaje al espacio! [Enlace],1,spam
¡Ofrecemos cursos gratis para mejorar tu vida!,0,ham
"Feliz cumpleaños a mi hermana, espero verte pronto",0,ham
El instituto anuncia el horario de clases para el mes de abril,0,ham
"Recomiendo este libro sobre psicología positiva, es muy útil",0,ham
¿Puedes ayudarme con la receta de arroz con pollo?,0,ham
Actualización del gobierno sobre restricciones de viaje,0,ham
Me encantó la exhibición del museo de arte contemporáneo,0,ham
Consejo deauería: Compara seguros antes de comprar,0,ham
¡El festival de música comienza mañana en la plaza principal!,0,ham
¡Descubre la dieta milagrosa para perder 10kg en 3 días! Compra nuestro plan ahora: enlace_secreto,1,spam
¡Urgencia! Tu tarjeta de crédito está bloqueada. Haga clic aquí para desbloquearla: enlac_emergencia,1,spam
¡Hazte fan de mi canal y gana un oferta especial! Solo 3 horas para enterarte: enlace_gana_premio,1,spam
Suscríbete a nuestro boletín y recibe 20% de descuento en tu próxima compra: enlace_promo,1,spam
¡Oportunidad única! Invierte $500 y obtiene $5000 en 7 días con nuestra osmoticidad: enlace_fraud,1,spam
"Vaya princearrethis, aquí tienes un enlace para descargar programas gratuitos: malware_historico",1,spam
¡Atención! Su cuenta de Netflix está a punto de expirar. Recargue ahora: enlac_urgente,1,spam
¡Estás ganador! Haz clic en el enlace para reclamar tu premio: enlac_ganador,1,spam
Gana dinero rápido ejerciendo en casa. Solo necesita $1000 de inversión: enlac_lossenen,1,spam
¡Oferta flash! Computadoras nuevos por $200. Enlace no esperado: enlac_promo,1,spam
¡Caza el link de este mensaje y gane $10000! No se lo pierda: enlac_extra,1,spam
¡Promoción exclusiva para madres! Compra unote especial aquí: enlac_madre,1,spam
¡Te avisamos! Tu banca ha detectado actividad sospechosa. Verifique en: enlac_seguridad,1,spam
¡Última oportunidad! Suscríbase a nuestro club VIP y gane regalos: enlac_vip,1,spam
¡Viva México! Cambie su dirección para enterarse de promociones: enlac_gob,0,ham
Comparto una receta casera de tamales. ¿Alguien prueba? Responde abajo 😊,0,ham
¿Alguien conoce un buen cine en streaming en español? Ayúdame a decidir,0,ham
¡Feliz cumpleaños a mi abuela! Ojalá esté bien ❤️,0,ham
Recomiendo este curso online de programación. Muy útil para principiantes,0,ham
¿Busca un good pet? Adopté un perro y lo necesito ayudar a encontrar un buen hogar,0,ham
¡Estoy organizando un festival de música local! ¿Quien quiere colaborar?,0,ham
"¿Por qué los perros ladran tanto en medio de la noche? Ayuda científica, por favor",0,ham
¡Oferta gourmet! Comida fresca y entregas a domicilio. Encuéntranos hoy: enlac_legit,0,ham
¡Cuidado! Este enlace puede contener virus. No descargue nada: enlac_malware,0,ham
¿Alguno de ustedes conoce buenas cafeterías cerca del parque? Gracias,0,ham
¡OFERTA EXCLUSIVA! Compra ahora y gana un iPhone gratis.,1,spam
Tu cuenta bancaria ha sido bloqueada. Verifícala en la página web oficial ahora.,1,spam
¡Gana dinero rápido! Invierte cinco euros y obtén quinientos euros al día.,1,spam
¡Descubre el secreto para hacer dinero fácil sin esfuerzo!,1,spam
"Descarga el documento adjunto, contiene información confidencial.",1,spam
¡CLICK AQUÍ!!!! ¡Oferta limitada!!!!,1,spam
"¡Promoción única! Cien por ciento gratis, solo por tiempo limitado.",1,spam
"Te envío mi currículum vitae actualizado, por favor revisa.",1,spam
¡Compra ahora! Precio especial de noventa y nueve centavos por unidad.,1,spam
¡Haz clic y descubre el secreto de los millonarios.,1,spam
¡Mira esta imagen! (foto inapropiada),1,spam
¡GANA! El sorteo de diez mil euros está a un clic de distancia.,1,spam
Me gusta caminar por el parque los domingos.,0,ham
La película que vi anoche fue muy emotiva y bien dirigida.,0,ham
Hoy cociné una paella con mariscos frescos.,0,ham
En la biblioteca encontré un libro interesante sobre historia.,0,ham
¿Has visto el partido de fútbol de anoche?,0,ham
Mi familia planea un viaje a la costa el próximo mes.,0,ham
La universidad ofrece becas para estudiantes sobresalientes.,0,ham
Recientemente leí un artículo sobre energía renovable.,0,ham
Mi compañero de trabajo está celebrando su aniversario.,0,ham
El evento cultural que organizó el municipio fue un éxito.,0,ham
Te mando un mensaje para confirmar nuestra cita de mañana a las 10.,0,ham
¿Podrías recomendarme una buena serie de televisión?,0,ham
Mi gato disfruta durmiendo al sol.,0,ham
"¡Oferta limitada! Compra ahora y duplica tu dinero en una semana, solo por tiempo limitado!",1,spam
Publicidad comercial no solicitada o proselitismo no comercial: Compra el suplemento milagroso que te hará jovenes otra vez.,1,spam
"Esquema fraudulento: Invertir 100€ y recibir 10,000€ al día, sin esfuerzo.",1,spam
Phishing: Haga clic aquí para confirmar su cuenta bancaria y evitar bloqueos.,1,spam
Oferta irreales: Gana un iPhone gratis enviando este mensaje a 5 amigos.,1,spam
Enlace dañino: descargue este archivo.exe para mejorar su sistema.,1,spam
Contenido para adultos: Visita nuestro sitio para ver videos exclusivos.,1,spam
USO EXCESIVO DE MAYÚSCULAS!!!!!! Compra ahora!!,1,spam
"Oferta engañosa: El gobierno está regalando dinero, envía tu número de crédito.",1,spam
Esquema piramidal: Únete a nuestro programa y recibe recompensas por cada nueva persona que traigas.,1,spam
"¡Actúa ya! Solo quedan 3 cupos, ofertas únicas, compra ahora!!!",1,spam
"Meta de enriquecimiento rápido: Invierte 10€ y obtén 500€ en 24h, sin riesgos.",1,spam
"Me encanta el nuevo restaurante italiano en la esquina, la pasta está deliciosa.",0,ham
¿Alguien sabe dónde puedo encontrar libros de ciencia ficción?,0,ham
Quería preguntar si el servicio de entrega está disponible este fin de semana.,0,ham
"Compré una chaqueta azul en la tienda y me gustó mucho, pero el talle es pequeño.",0,ham
"Hola, ¿puedes recomendarme una película similar a 'Inception'?",0,ham
"El clima hoy está despejado, perfecto para una caminata en el parque.",0,ham
Necesito ayuda para configurar mi router Wi-Fi en casa.,0,ham
¿Cuál es la receta tradicional de paella valenciana?,0,ham
"Quiero reportar un error en la página web, el botón no funciona.",0,ham
¿Me puedes indicar la hora de la próxima función de cine?,0,ham
Estoy organizando una reunión virtual y necesito ideas de juegos.,0,ham
El libro que estoy leyendo me ha cambiado la perspectiva de la vida.,0,ham
"Gracias por tu ayuda, todo salió bien.",0,ham
¡OFERTA EXCLUSIVA! Compra ahora y gana el 100% de devolución. ¡Últimas unidades!,1,spam
Publicidad comercial no solicitada o proselitismo no comercial: ¡Llame hoy y reciba un iPhone gratis!,1,spam
Esquema de enriquecimiento rápido: Invierte $50 y recibe $500 en 24 horas.,1,spam
"Haga clic aquí para obtener una oferta irreales, solo por tiempo limitado.",1,spam
Malware incluido: Descargue este archivo peligroso y active el virus.,1,spam
Anuncio para adultos: Visita nuestro sitio para contenido exclusivo 18+.,1,spam
¡Urgente! Necesito confirmar su cuenta de Bancolombia antes de que se suspenda.,1,spam
Ofrecemos trabajos de alto pago sin experiencia. Regístrese ahora!,1,spam
Promoción de sitio web fraudulento: Gane dinero rápido sin esfuerzo.,1,spam
Este mensaje contiene MAYUSCÚAAASS y demasiados signos!!!???,1,spam
Este es un mensaje de phishing: Verifique su cuenta de PayPal aquí.,1,spam
Contenido engañoso: Le prometemos resultados milagrosos en 1 día.,1,spam
"Clic aquí para recibir un regalo sorpresa, pero necesitas compartir tu número.",1,spam
Me gusta leer novelas de misterio en mi tiempo libre.,0,ham
¿Cómo preparar un buen café expreso en casa?,0,ham
Quiero aprender a programar en Python usando recursos gratuitos.,0,ham
Mi perro se llama Max y le encanta correr en el parque.,0,ham
Planifico viajar a Barcelona el próximo verano.,0,ham
La película que vi ayer fue muy emotiva y bien actuada.,0,ham
¿Alguna recomendación de libros de desarrollo personal?,0,ham
Estoy trabajando en un proyecto de análisis de datos para mi empresa.,0,ham
Hoy compré frutas en el mercado local.,0,ham
¿Cuál es la capital de Uruguay? Montevideo.,0,ham
Necesito organizar mi agenda para la próxima semana.,0,ham
"Mi hija acaba de empezar a hablar, es increíble ver su progreso.",0,ham
¡Oferta exclusiva: 50% de descuento en ropa electrónica! Compre 1 y lleve 2 gratis. https://spam.com,1,spam
¡Oportunidad única! Riccaminar $1000 en un día. Envíe su información bancaria ahora: [enlace],1,spam
Queremos que se postule: Trabajador para cuenta de redes sociales. Salario: $500/mes. https://lostrabajo.es,1,spam
Alerta de seguridad: Su cuenta de correo está bloqueada. Haga clic aquí para recuperar el acceso: [link malicioso],1,spam
Sorteo gratis: Gane un iPhone 14 al responder 3 preguntas. Solo 1 minuto para responder:tasrdnw03.com,1,spam
¡Este descuento es solo para hoy! compre ahora en el enlace antes de que se acabe: https://tenda.com,1,spam
Su coche podría estar siendo vigilado por hackers. Haga clic en este enlace para protegerlo: geolocaliza.mi.coche,1,spam
Ofrecemos soluciones para recuperar dinero perdido en estafas. Envíe un WhatsApp a Este numero: +34612345678,1,spam
¡Últimas noticias! ¡Nuestro portal web es el mejor para ver videos completos sin anuncios. Visite nosotros: videogratis.es,1,spam
¡Descargue esta app y obtenga 100 puntos de recompensa! No necesita internet: AcapiconeSPD123#,1,spam
¡Oferta flash! Ofrecerle un viaje a México por $200. Llame al 0800-123-456 ahora: Fraudulentos promotores,1,spam
Su número ha sido seleccionado para una lotería internacional. Responda en este mensaje para reclamar: Esca123¡,1,spam
¡Alerta de Virus! Su dispositivo tiene malware. Haga clic para limpiarlo: https://cleanclean.com,1,spam
¡Trabajo desde casa! Enviar un matching ¡50 horas laborales garantizadas! https://trabajasdesdecasa.es,1,spam
Escriba 'GUARDA' para recibir ofertas diarias. No necesita registrarse: +34912345678 Empezamos ahora!,1,spam
Temático exclusivo: Tenga acceso a libros raros de la biblioteca virtual. Haga clic en este link: librorare.com,1,spam
¡Oferta urgente! Preste dinero a cambio de apuestas. Interés alto. Envíe un mensaje a esta pagina web: apuestas Seguras,1,spam
Actualización de seguridad: Sus contraseñas han sido comprometidas. Cambie su cuenta de inmediato: reseteame.com,1,spam
Sorteo de equipos Apple. Solo envíe una foto de su cara. ¡Sólo 5 mins! schrieb.sorteo,1,spam
¡Oferta deSuscripción! Netflix premium al 90% de descuento. enlace secreto: www.descuentosnetflix.com,1,spam
Su cuota de UDAIMETRO se требue por exceso de contenido. Pague $15 para evitar svg: www.udaitmetro.es,1,spam
¿Busca trabajo? Ofrecemos empleo de «desarrollo web» en casa. Salario: $800/día. Responda en whatsapp: +34654321098,1,spam
Actualización deांसurencia: Su cargo ha sido revocado por no pagar impuestos. Envíenos su SS: seguridad.rer,1,spam
¡Gratis! Recibir 1000 puntos por descargar nuestra app hoy. enlace: https://down appe nts.es,1,spam
